"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.462323125E0	7.977744937E-1	4.099182487E-1	1.179910898E0	1.482115664E0
2.472279125E0	7.870475650E-1	3.255407810E-1	1.192922831E0	1.465771316E0
2.482236125E0	7.567077875E-1	1.904656589E-1	1.164673686E0	1.401908926E0
2.492192125E0	6.894203424E-1	5.151362345E-2	1.127138019E0	1.322268571E0
2.502149125E0	5.848461986E-1	-7.191962004E-2	1.148721814E0	1.291038076E0
2.512105125E0	4.362756014E-1	-2.038134784E-1	1.214161277E0	1.306163826E0
2.522062125E0	3.436710238E-1	-2.495600134E-1	1.293677211E0	1.361613271E0
2.532018125E0	3.392893076E-1	-2.125767022E-1	1.318315983E0	1.377774698E0
2.541975125E0	3.675984740E-1	-2.182470262E-1	1.275470614E0	1.345208419E0
2.551931125E0	3.833883703E-1	-2.842172682E-1	1.212503910E0	1.303047133E0
2.561888125E0	3.965587318E-1	-3.240767717E-1	1.160811305E0	1.268766120E0
2.571844125E0	4.168471992E-1	-2.901057303E-1	1.117551446E0	1.227535807E0
2.581801125E0	4.278821945E-1	-2.474650592E-1	1.074244022E0	1.182506807E0
2.591757125E0	4.195981622E-1	-1.917024553E-1	1.029828668E0	1.128432335E0
2.601714125E0	4.020618200E-1	-1.404438317E-1	9.875820875E-1	1.075498283E0
2.611670125E0	3.673845530E-1	-1.003680527E-1	9.455310106E-1	1.019349816E0
2.621627125E0	2.997637391E-1	-6.808034331E-2	9.150186181E-1	9.652731758E-1
2.631583125E0	1.821953207E-1	-4.943608493E-2	9.019715190E-1	9.215159697E-1
2.641540125E0	3.731587529E-2	-2.508391999E-2	9.118193984E-1	9.129273207E-1
2.651496125E0	-1.044580340E-1	5.665541440E-2	9.298127890E-1	9.373756661E-1
2.661453125E0	-2.313656807E-1	1.796690971E-1	9.579014778E-1	1.001691721E0
2.671409125E0	-3.353626430E-1	3.090204298E-1	9.858306050E-1	1.086196902E0
2.681366125E0	-4.180937111E-1	4.100903273E-1	1.004647255E0	1.162881135E0
2.691322125E0	-4.650958478E-1	4.301308990E-1	1.016014099E0	1.197335119E0
2.701279125E0	-4.856779277E-1	3.525280356E-1	1.011634827E0	1.176250011E0
2.711235125E0	-4.885091484E-1	2.191896886E-1	1.011243820E0	1.144246202E0
2.721192125E0	-4.866420627E-1	6.990929693E-2	1.011890531E0	1.125002335E0
2.731148125E0	-4.903904796E-1	-6.083646789E-2	1.015402675E0	1.129259266E0
2.741105125E0	-5.141990185E-1	-1.340697110E-1	1.015217543E0	1.145880437E0
2.751061125E0	-5.451079011E-1	-1.594549567E-1	1.006923676E0	1.156055274E0
2.761018125E0	-5.772371888E-1	-1.659107208E-1	9.941639900E-1	1.161503844E0
