"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.099691167E0	-1.065027993E-2	4.857590422E-2	-1.752576046E-2	5.272759442E-2
2.109647167E0	-3.804357955E-3	2.396403439E-2	-5.061899312E-3	2.478650658E-2
2.119603167E0	-1.724218484E-3	5.518102087E-3	8.964516455E-4	5.850299614E-3
2.129558167E0	-6.146131083E-3	3.898367286E-3	3.767072922E-3	8.195305558E-3
2.139514167E0	-1.505652629E-2	5.271568894E-3	-2.453621710E-4	1.595458007E-2
2.149470167E0	-2.385534346E-2	-1.151832938E-2	-6.488876883E-3	2.727370247E-2
2.159425167E0	-3.144983202E-2	-4.356041551E-2	-1.049048733E-2	5.474168483E-2
2.169381167E0	-3.217394650E-2	-6.384678185E-2	-1.912339032E-2	7.400863763E-2
2.179336167E0	-2.325741015E-2	-5.925462022E-2	-2.704054862E-2	6.916074331E-2
2.189292167E0	-8.566349745E-3	-6.118248403E-2	-3.128935769E-2	6.925101158E-2
2.199248167E0	-3.544745967E-3	-5.400666967E-2	-3.481079638E-2	6.435120152E-2
2.209203167E0	-8.657216094E-3	-2.449032292E-2	-3.805479407E-2	4.607483759E-2
2.219159167E0	-2.392107807E-2	-6.162441801E-3	-3.701743484E-2	4.450263079E-2
2.229115167E0	-4.077622294E-2	-2.182614058E-3	-3.279046342E-2	5.237058958E-2
2.239070167E0	-4.549923539E-2	1.061907411E-2	-2.524664626E-2	5.310685740E-2
2.249026167E0	-3.732865676E-2	2.771816589E-2	-2.391586453E-2	5.228473881E-2
2.258982167E0	-1.888547279E-2	3.767886013E-2	-1.814974286E-2	4.588867778E-2
2.268937167E0	4.845423624E-3	2.830213867E-2	-9.727229364E-3	3.031679690E-2
2.278893167E0	2.103998698E-2	2.581296675E-2	-8.472295478E-3	3.436233542E-2
2.288849167E0	3.808741271E-2	1.900006644E-2	-1.255066041E-2	4.437536038E-2
2.298804167E0	5.235362798E-2	1.555388328E-3	-1.514021121E-2	5.452107474E-2
2.308760167E0	5.251900852E-2	-1.607313938E-2	-1.566325687E-2	5.711330564E-2
2.318716167E0	4.166377708E-2	-2.377556823E-2	-2.292005718E-2	5.316462157E-2
2.328671167E0	2.538200840E-2	-2.707788907E-2	-2.623356134E-2	4.544951229E-2
2.338627167E0	5.544191226E-4	-3.143461049E-2	-2.634104155E-2	4.101576023E-2
2.348582167E0	-1.408737432E-2	-2.594796754E-2	-2.463395521E-2	3.845234563E-2
2.358538167E0	-3.002543747E-2	-1.367441192E-2	-2.315764315E-2	4.030871957E-2
2.368494167E0	-2.697691694E-2	-5.149338394E-4	-2.036398649E-2	3.380401086E-2
2.378449167E0	-2.238077112E-2	5.555090960E-3	-1.945682615E-2	3.017160975E-2
2.388405167E0	-9.690542705E-3	1.483540796E-2	-1.915908419E-2	2.609724993E-2
2.398361167E0	-9.763473645E-4	2.547404915E-2	-2.197616920E-2	3.365757637E-2
2.408316167E0	5.898336880E-3	2.521358989E-2	-3.153664991E-2	4.080534010E-2
2.418272167E0	1.098752487E-2	1.599946804E-2	-3.539669886E-2	4.036873754E-2
2.428228167E0	1.675193757E-2	3.388334997E-3	-3.003229201E-2	3.455498212E-2
2.438183167E0	1.525811665E-2	3.814105876E-3	-2.562443726E-2	3.006608242E-2
2.448139167E0	1.097974926E-2	1.056388766E-2	-1.996335573E-2	2.511346628E-2
2.458095167E0	1.228877343E-3	9.839142673E-3	-1.297937706E-2	1.633349616E-2
